TextRangeURN,FolioURN
urn:cts:greekLit:tlg0012.tlg001.gen44:1.1-1.9,urn:cite:hmt:gen44.1r
urn:cts:greekLit:tlg0012.tlg001.gen44:1.10-1.23,urn:cite:hmt:gen44.1v
urn:cts:greekLit:tlg0012.tlg001.gen44:1.24-1.32,urn:cite:hmt:gen44.2r
urn:cts:greekLit:tlg0012.tlg001.gen44:1.33-1.40,urn:cite:hmt:gen44.2v
urn:cts:greekLit:tlg0012.tlg001.gen44:1.41-1.49,urn:cite:hmt:gen44.3r
urn:cts:greekLit:tlg0012.tlg001.gen44:1.50-1.54,urn:cite:hmt:gen44.3v
urn:cts:greekLit:tlg0012.tlg001.gen44:1.55-1.68,urn:cite:hmt:gen44.4r
urn:cts:greekLit:tlg0012.tlg001.gen44:1.69-1.81,urn:cite:hmt:gen44.4v
urn:cts:greekLit:tlg0012.tlg001.gen44:1.82-1.95,urn:cite:hmt:gen44.5r
urn:cts:greekLit:tlg0012.tlg001.gen44:1.96-1.108,urn:cite:hmt:gen44.5v
urn:cts:greekLit:tlg0012.tlg001.gen44:1.109-1.122,urn:cite:hmt:gen44.6r
urn:cts:greekLit:tlg0012.tlg001.gen44:1.123-1.136,urn:cite:hmt:gen44.6v
urn:cts:greekLit:tlg0012.tlg001.gen44:1.137-1.151,urn:cite:hmt:gen44.7r
urn:cts:greekLit:tlg0012.tlg001.gen44:1.152-1.165,urn:cite:hmt:gen44.7v
urn:cts:greekLit:tlg0012.tlg001.gen44:2.506-2.519,urn:cite:hmt:gen44.8r
urn:cts:greekLit:tlg0012.tlg001.gen44:2.520-2.531,urn:cite:hmt:gen44.8v
urn:cts:greekLit:tlg0012.tlg001.gen44:2.532-2.544,urn:cite:hmt:gen44.9r
